"dt","brand","framework","ads_format","impression","click","cost","order_cnt","pay_amount","new_customer_cnt","new_customer_cost","new_customer_pay_amount","cost_ly","pay_amount_ly","new_customer_cnt_ly","new_customer_cost_ly","new_customer_pay_amount_ly","cost_target","pay_amount_target","new_customer_cnt_target","new_customer_cost_target"
"2026-02-01","M Polo","Acceleration","QZT","3983","142","338.88","8","1881.86","2","104.17","658.13","358.97","1928.02","2","91.46","520.82","360.64","1801.45","2","95.37"
"2026-02-01","M Polo","Foundation","ZTC","6094","262","853.77","15","2320.72","5","323.13","642.41","792.9","2342.6","5","289.42","708.04","905.83","2460.47","5","294.24"
"2026-02-01","M Polo","Foundation","YLMF","4905","234","368.59","18","4183.18","4","121.79","1285.62","418.35","4336.47","4","111.91","1011.14","387.57","3950.21","4","129.98"
"2026-02-01","M Polo","Foundation","QZT","4415","273","663.32","20","4636.84","5","205.75","985.26","652.03","5282.25","4","216.8","1061.01","719.87","4715.23","5","187.25"
"2026-02-01","M Polo","T-shirt","ZTC","3772","240","647.58","7","1527.74","3","288.46","518.35","626.13","1286.49","3","248.17","424.23","704.74","1554.68","3","262.15"
"2026-02-01","M Polo","T-shirt","YLMF","3337","101","187.35","3","669.13","1","93.18","219.33","173.27","620.79","1","106.85","176.15","199.75","732.04","1","84.62"
"2026-02-01","M Polo","T-shirt","QZT","2148","97","238.66","6","937.57","2","106.81","325.37","224.38","823.69","2","119.5","279.45","228.42","963.66","2","112.65"
"2026-02-01","M Polo","Complemen","ZTC","2295","122","281.34","9","2246.21","3","118.86","547.1","271.12","2289.1","3","134.11","466.51","281.87","2411.36","3","110.07"
"2026-02-01","M Polo","Complemen","YLMF","2164","83","242.98","3","516","1","94.27","115.89","232.02","570.82","1","106.46","132.22","242.41","493.89","1","91.62"
"2026-02-01","M Polo","Complemen","QZT","1609","73","161.5","2","373.28","1","76.48","97.25","184.16","322.23","1","62.32","74.64","174.71","361.75","1","71"
"2026-02-01","W Polo","Acceleration","ZTC","5589","264","827.43","12","2857.25","3","407.64","889.6","807.88","3153.77","3","375.97","810.13","824.32","2866.71","3","440.01"
"2026-02-01","W Polo","Acceleration","YLMF","4926","242","390.54","19","2278.97","6","183.24","779.34","384.74","1835.98","6","154.39","679.8","429.38","2246.16","6","195.53"
"2026-02-01","W Polo","Acceleration","QZT","3933","253","704.74","19","5361.4","3","266.8","1387.7","612.45","5730.93","2","218.5","1354.96","761.73","5274.32","3","247.96"
"2026-02-01","W Polo","Foundation","ZTC","4353","282","671.67","8","991.01","3","331.96","269.06","624.96","920.57","3","337.69","214.23","725.9","973.34","3","336.36"
"2026-02-01","W Polo","Foundation","YLMF","3715","210","665.81","16","4057.74","4","288.16","1178.87","589.52","4388.43","4","320.52","1301.22","646.86","3721.47","4","268.5"
"2026-02-01","W Polo","Foundation","QZT","3181","167","251.27","10","2421.99","4","109.13","651.48","262.64","2476.93","4","116.77","735.64","272.51","2479.2","4","120.04"
"2026-02-02","M Polo","Acceleration","ZTC","6722","405","1198.01","13","2130.71","3","545.56","599.6","1047.55","1744.3","2","548.03","541.73","1178.49","2076.67","3","595.39"
"2026-02-02","M Polo","Acceleration","YLMF","4643","297","982.43","22","4829.95","7","326.88","1328.67","875.83","5280.26","7","356.69","1086.92","1067.04","4539.1","7","352.03"
"2026-02-02","M Polo","Acceleration","QZT","4205","181","571.35","14","2489.06","3","197.16","552.48","598.07","2814.28","3","218.15","473.39","578.05","2519.38","3","216.53"
"2026-02-02","M Polo","Foundation","ZTC","6190","376","747.48","10","2706.46","2","308.76","819.69","689.86","2690.92","2","323.81","913.54","726.45","2952.87","2","308.7"
"2026-02-02","M Polo","Foundation","YLMF","4590","146","287.64","12","2547.19","4","125.33","788.65","328.92","2678.06","4","127.68","866.32","291.65","2378.56","4","117.28"
"2026-02-02","M Polo","Foundation","QZT","2913","138","345.12","9","2256.86","2","121.69","548.45","314.21","2289.92","2","115.91","574.7","369.22","2284.96","2","128.22"
"2026-02-02","M Polo","T-shirt","ZTC","3692","187","457.41","4","539.88","1","188.95","139.7","510.68","503.07","1","155.18","125.55","443.37","580.7","1","197.73"
"2026-02-02","M Polo","T-shirt","YLMF","2357","120","261.48","8","2058.12","3","129.28","626.93","253.62","1695.56","3","116.78","528.8","284.46","1886.85","3","119.02"
"2026-02-02","M Polo","T-shirt","QZT","2074","116","325","4","1029.77","1","158.28","263.18","362.83","1132.47","1","139.15","284.72","332.37","988.63","1","142.84"
"2026-02-02","M Polo","Complemen","ZTC","2381","75","216.92","2","170.49","1","86.81","42.02","239.7","137.52","1","72.39","42.52","220.96","181.92","1","82.8"
"2026-02-02","M Polo","Complemen","YLMF","1809","71","239.41","4","568.88","1","91.19","145.03","269.41","645.45","1","88","141.85","248.4","534.75","1","86.11"
"2026-02-02","M Polo","Complemen","QZT","1227","39","128.18","1","206.03","1","42.3","67.84","145.73","188.23","1","37.89","57.22","129.44","206.38","1","42.81"
"2026-02-02","W Polo","Acceleration","ZTC","5724","189","628.57","9","1564.98","3","225.23","469.15","554.29","1661.24","3","246.27","404.4","638.19","1679.27","3","222.22"
"2026-02-02","W Polo","Acceleration","YLMF","3727","229","608.23","7","2037.19","2","278.08","620.96","576.55","2240.5","2","231.46","635.68","628.63","1882.32","2","250.79"
"2026-02-02","W Polo","Acceleration","QZT","3143","110","282.33","7","1765.74","1","118.67","460.79","279.51","1538.11","1","95.92","470.28","305.87","1590.83","1","125.8"
"2026-02-02","W Polo","Foundation","ZTC","3761","221","409.61","9","2686.67","3","133.28","840.72","360.51","3089.48","3","133.34","772.39","400.81","2822.41","3","127.17"
"2026-02-02","W Polo","Foundation","YLMF","3667","219","379.82","13","2369.03","4","188.11","754.79","378.96","1954.32","4","194.94","762.29","415.94","2383.21","4","202.55"
"2026-02-02","W Polo","Foundation","QZT","2449","113","291.52","7","1542.24","2","111.15","312.39","307.49","1336.47","2","121.35","239.91","277.51","1549.9","2","109.06"
"2026-02-03","M Polo","Acceleration","ZTC","5883","239","600.44","7","1617.49","1","204.2","462.51","600.59","1707.25","1","168.91","430.24","573.35","1529.18","1","205.75"
"2026-02-03","M Polo","Acceleration","YLMF","5835","257","684.54","15","1749.21","4","302.67","519.39","742.48","1649.54","3","343.53","482.51","656.31","1918.43","4","287.17"
"2026-02-03","M Polo","Acceleration","QZT","4494","183","626.93","12","2857.96","3","230.65","602.76","558.66","2879.73","3","260.35","508.01","610.41","2925.23","3","230.97"
"2026-02-03","M Polo","Foundation","ZTC","5144","190","406.64","13","3667.28","5","186.68","1003.55","455.99","3847.85","4","189.58","774.06","427.27","3766.02","5","175.73"
"2026-02-03","M Polo","Foundation","YLMF","4010","274","488.16","18","1699.99","3","170.1","480.82","419.25","1850.49","3","178.16","466.42","482.13","1704.72","3","185.09"
"2026-02-03","M Polo","Foundation","QZT","3693","231","555.84","11","3211.86","3","185.37","765.55","608.27","3207.36","3","177.94","599.79","604.89","2989.27","3","167.77"
"2026-02-03","M Polo","T-shirt","ZTC","2863","161","431.18","10","1157.9","2","136.07","271.3","481.52","935.26","2","146.2","241.93","439.45","1170.61","2","125.53"
"2026-02-03","M Polo","T-shirt","YLMF","2963","186","595.71","12","1453","3","294.68","407.34","551.26","1419.4","3","245.58","459.6","646.6","1531.21","3","296.14"
"2026-02-03","M Polo","T-shirt","QZT","1861","120","333.16","4","907.26","1","124.95","213.34","290.62","852.02","1","120.58","199.26","321.81","946.42","1","136.72"
"2026-02-03","M Polo","Complemen","ZTC","1958","85","260.69","3","781.62","1","110.31","177.44","292.87","787.89","1","93.4","200.04","252.32","719.67","1","117.58"
"2026-02-03","M Polo","Complemen","YLMF","1640","95","285.08","7","828.35","1","112.67","228.96","251.93","704.45","1","92.66","244.19","287.89","787.89","1","123.37"
"2026-02-03","M Polo","Complemen","QZT","1474","70","145.39","2","346.08","1","44.27","71.54","156.55","291.05","1","36.98","57.4","144.19","324.69","1","45.42"
"2026-02-03","W Polo","Acceleration","ZTC","5628","173","369.47","4","1117.04","1","133.55","352.84","392.56","1273.25","1","112.26","281.59","361.82","1195.34","1","146.07"
"2026-02-03","W Polo","Acceleration","YLMF","3786","214","502.32","12","3058.06","5","223.84","998.44","490.01","3511.27","4","211.07","1140.79","542.44","3050.5","5","208.66"
"2026-02-03","W Polo","Acceleration","QZT","3034","120","350.23","9","2535.84","2","173.79","686.15","372.78","2713.18","2","195.52","689.11","381.15","2494.52","2","162.05"
"2026-02-03","W Polo","Foundation","ZTC","4807","245","532.01","6","603.94","1","222.36","142.49","530","530.34","1","206.22","148.29","513.8","597.84","1","242.78"
"2026-02-03","W Polo","Foundation","YLMF","3546","193","442.71","5","817.28","1","171.99","177.69","386.94","706.5","1","192.65","188.89","425.42","864.44","1","182.97"
"2026-02-03","W Polo","Foundation","QZT","2810","192","660.1","5","858.27","1","213.81","255.64","646.18","986.33","1","179.02","292.74","693.05","881.58","1","221.36"
"2026-02-04","M Polo","Acceleration","ZTC","6190","385","1037.84","10","2125.35","2","496.76","720.78","886.46","2353.91","2","453.91","743.8","1009.34","2045.33","2","537.27"
"2026-02-04","M Polo","Acceleration","YLMF","4926","244","777.03","17","2362.73","4","276.22","622.89","881.85","2258.95","4","221.91","490.16","798.56","2129.75","4","254.46"
"2026-02-04","M Polo","Acceleration","QZT","4438","308","964.52","20","2839.23","7","303.97","648.61","936.39","2565.59","6","278.01","674.51","1038.91","2878.46","7","278.44"
"2026-02-04","M Polo","Foundation","ZTC","5508","198","405.95","14","4104.66","3","147.8","1228.23","424.55","4198.51","3","165.72","1373.91","407.61","4465.92","3","150.72"
"2026-02-04","M Polo","Foundation","YLMF","4231","183","323.79","6","1720.03","2","146.78","512.33","359.28","1461.57","2","122.4","430.32","336.67","1889.47","2","132.46"
"2026-02-04","M Polo","Foundation","QZT","2930","189","480.83","7","1894.83","2","191.88","399.39","499.42","1676.27","2","171.75","376.43","524.26","1793.43","2","177.53"
"2026-02-04","M Polo","T-shirt","ZTC","3393","134","206.73","10","1912.37","3","83.05","434.7","182.15","1680.72","3","82.85","400.43","197.58","1850.8","3","89.85"
"2026-02-04","M Polo","T-shirt","YLMF","2517","84","126.97","3","535.45","1","54.33","115.32","119.75","497.27","1","50.7","104.21","124.56","575.34","1","49.97"
"2026-02-04","M Polo","T-shirt","QZT","1753","105","332.28","3","614.47","1","100.58","131.14","358.5","575.48","1","98.32","108.9","325.81","602.81","1","102.03"
"2026-02-04","M Polo","Complemen","ZTC","2339","84","259.36","6","592.72","2","97.62","189.96","235.63","509.51","2","105.48","197.15","247.12","574.11","2","94.28"
"2026-02-04","M Polo","Complemen","YLMF","2046","109","214.07","7","1669.23","2","106.71","393.39","225.93","1524.19","2","107.6","312.29","208.64","1708.36","2","113.37"
"2026-02-04","M Polo","Complemen","QZT","1368","80","200.55","3","886.8","1","78.22","217.7","192.87","756.3","1","70.46","167.05","201.7","964.26","1","84.04"
"2026-02-04","W Polo","Acceleration","ZTC","4633","291","1004.25","19","5396.93","5","462.24","1533.48","974.36","4702.44","4","403.42","1202.54","954.97","5795.27","5","499.92"
"2026-02-04","W Polo","Acceleration","YLMF","3983","219","663.16","5","1492.23","1","302.63","410.28","632.92","1511.53","1","342.7","412.95","724.67","1469.18","1","286.76"
"2026-02-04","W Polo","Acceleration","QZT","3417","212","401.8","5","1094.56","1","176.95","340.27","411.35","883.92","1","147.47","294.24","390.44","1129.17","1","164.06"
"2026-02-04","W Polo","Foundation","ZTC","4719","201","492.69","14","1852.1","4","166.9","445.28","504.44","1989.88","4","169.22","469.24","486.69","1889.03","4","178.51"
"2026-02-04","W Polo","Foundation","YLMF","2929","96","226.68","7","1835.61","2","70.82","446.92","220.81","1686.78","2","66.68","346.12","231.11","1948.35","2","70.9"
"2026-02-04","W Polo","Foundation","QZT","2172","75","244.51","3","699.25","1","73.54","220.99","211.64","692.64","1","62.13","238.2","260.51","745.13","1","72.64"
"2026-02-05","M Polo","Acceleration","ZTC","5857","313","612.96","11","1081.95","2","234.59","306.15","672.54","909.97","2","258.71","293.09","611.77","1088.26","2","223.05"
"2026-02-05","M Polo","Acceleration","YLMF","4912","244","840.38","12","1954.86","4","323.85","417.64","910.07","2076.64","4","277.42","412.46","870.25","1964.98","4","331.76"
"2026-02-05","M Polo","Acceleration","QZT","3901","151","244.85","5","1452.09","1","96.3","473.77","272.16","1275.77","1","107.66","456.44","240.84","1549.85","1","97.57"
"2026-02-05","M Polo","Foundation","ZTC","5696","248","506.45","20","4659.21","7","233.21","1057.86","477.13","4169.69","7","218.5","890.7","522.68","4485.84","7","251.69"
"2026-02-05","M Polo","Foundation","YLMF","5056","214","432.5","5","681.33","1","173.48","198.72","433.15","665.25","1","149.86","168.34","444.96","730.34","1","157.11"
"2026-02-05","M Polo","Foundation","QZT","2869","108","354.25","6","1398.99","1","124.58","291.11","370.13","1518.93","1","119.31","293.08","372.54","1496.94","1","128"
"2026-02-05","M Polo","T-shirt","ZTC","3154","161","417.37","8","1170.7","3","189.11","300.01","378.59","1082.18","3","217.33","232.71","443.2","1254.42","3","177.83"
"2026-02-05","M Polo","T-shirt","YLMF","2715","95","297.16","3","393.57","1","89.27","135.73","306.64","395.77","1","76.43","148.66","319.14","386.7","1","91.15"
"2026-02-05","M Polo","T-shirt","QZT","1853","80","249.43","4","946.08","1","81.04","226.23","249.87","758.32","1","66.42","222.63","239.6","1020.2","1","80.07"
"2026-02-05","M Polo","Complemen","ZTC","2000","118","269.13","5","468.72","1","110.02","134.53","284.89","431.65","1","96.28","118.5","277.03","433.74","1","109.11"
"2026-02-05","M Polo","Complemen","YLMF","1800","92","179.79","6","1565.75","2","78.73","547.89","192.02","1770.87","2","88.05","415.54","184.74","1679.89","2","77.52"
"2026-02-05","M Polo","Complemen","QZT","1418","82","219.39","3","350.7","1","77.44","117.61","187.55","392.37","1","63.21","96.62","224.07","357.15","1","71.66"
"2026-02-05","W Polo","Acceleration","ZTC","5123","229","429.29","14","2108.62","5","188.96","541.13","408.13","2152.43","4","195.5","551.76","461.18","1958.83","5","204.24"
"2026-02-05","W Polo","Acceleration","YLMF","4450","212","501.16","7","1095.84","2","246.79","353.44","547.21","1243.9","2","279.76","342.56","511.45","1137.79","2","266.26"
"2026-02-05","W Polo","Acceleration","QZT","3443","172","450.23","11","1756.01","4","214.92","575.37","495.08","1482.07","3","189.39","510.28","433.28","1921.22","4","205.22"
"2026-02-05","W Polo","Foundation","ZTC","4363","157","425.29","12","1506.15","4","146.73","505.5","427.17","1679.1","3","139.18","538.39","414.27","1527.04","4","154.93"
"2026-02-05","W Polo","Foundation","YLMF","3729","208","690.4","7","1305.31","2","282.39","335.28","693.7","1337.7","2","283.71","313.7","746.5","1332.42","2","269.6"
"2026-02-05","W Polo","Foundation","QZT","2778","143","291.41","11","2707.66","4","106.87","865.5","321.77","3048.35","4","101.46","664.48","319.03","2672.36","4","108.21"
"2026-02-06","M Polo","Acceleration","ZTC","6147","264","748.86","6","672.14","2","233.54","186.6","791.76","762.81","2","212.94","143.73","714.17","675.2","2","234.2"
"2026-02-06","M Polo","Acceleration","YLMF","5085","159","406.43","11","1149.04","4","168.74","299.58","423.1","1191.95","4","191.24","281.19","427.39","1154.38","4","182.29"
"2026-02-06","M Polo","Acceleration","QZT","4224","174","507.03","6","1397.6","2","173.37","380.26","440.75","1578.53","2","167.72","406.37","550.62","1324.21","2","174.42"
"2026-02-06","M Polo","Foundation","ZTC","5844","270","894.79","18","1855.19","5","284.97","556.67","897.17","2045.96","4","284.34","466.36","887.59","1945.63","5","264.97"
"2026-02-06","M Polo","Foundation","YLMF","4299","171","373.5","7","1522","1","135.84","373.13","322.73","1648.04","1","152.72","405.22","398.06","1536.47","1","147.83"
"2026-02-06","M Polo","Foundation","QZT","2888","100","198.54","3","605.75","1","83.97","169.73","179.85","512.24","1","94.08","184.66","208.32","584.3","1","86.45"
"2026-02-06","M Polo","T-shirt","ZTC","3401","237","372.34","8","676.39","2","155.53","183.97","322.96","722.34","2","164.73","187.2","358.95","707.07","2","148.63"
"2026-02-06","M Polo","T-shirt","YLMF","2485","137","459.49","3","775.46","1","204.7","245.55","451","865.83","1","191.39","204.01","446.61","726.8","1","192.11"
"2026-02-06","M Polo","T-shirt","QZT","1853","96","247.52","6","494.68","2","106.64","146.47","247.24","558.82","2","114.95","140.17","236.51","465.84","2","108.06"
"2026-02-06","M Polo","Complemen","ZTC","2182","126","285.17","7","1683.7","2","103.12","447.94","292.21","1621.18","2","85.9","489.32","297.39","1648.99","2","102.63"
"2026-02-06","M Polo","Complemen","YLMF","1987","74","177.79","4","528.37","1","63.04","136.42","167.93","532.27","1","72.13","152.57","192.04","493.98","1","64.75"
"2026-02-06","M Polo","Complemen","QZT","1438","71","140.06","4","760.91","1","48.49","184.48","137.07","684.3","1","48.06","185.61","139.84","781.37","1","44.04"
"2026-02-06","W Polo","Acceleration","ZTC","4547","143","349.97","3","356.78","1","112.61","83.73","341","393.9","1","108.09","84.95","363.85","323.3","1","106.32"
"2026-02-06","W Polo","Acceleration","YLMF","4499","298","975.19","22","3511.14","4","335.48","845.44","1065.28","3536.56","4","367.2","862.28","965.89","3203.31","4","360.98"
"2026-02-06","W Polo","Acceleration","QZT","3200","114","396.05","7","1415.86","2","128.92","355.84","346.91","1242.73","2","140.42","376.13","417","1392.58","2","126.85"
"2026-02-06","W Polo","Foundation","ZTC","4120","243","746.19","7","1810.76","3","261.7","563.12","716.87","1594.38","3","245.04","588.98","775.92","1828.96","3","276.42"
"2026-02-06","W Polo","Foundation","YLMF","3767","247","689.84","14","2138.37","3","311.63","607.62","643.35","2355.92","3","297.91","465.53","749.11","2098.34","3","296.37"
"2026-02-06","W Polo","Foundation","QZT","2772","120","306.39","8","2191.22","2","136.86","728.65","277.6","2087.45","2","155.12","647.52","319.71","2002.35","2","150.17"
"2026-02-07","M Polo","Acceleration","ZTC","8381","428","870.05","30","3098","8","265.66","887.62","879.66","2573.15","8","239.89","782.39","868.82","3332.33","8","264.85"
"2026-02-07","M Polo","Acceleration","YLMF","6675","258","705.96","6","510.16","2","340.69","156.64","630.54","552.12","2","345.1","175.67","695.97","513.4","2","310.3"
"2026-02-07","M Polo","Acceleration","QZT","4114","268","757","12","2880.81","4","302.79","647.69","721.7","2409.58","3","304.69","708.09","731.89","3148.56","4","324.71"
"2026-02-07","M Polo","Foundation","ZTC","7131","458","745.03","35","8643.55","13","276.17","1869.92","848.26","8962.38","10","314.54","1857.27","802.59","7988.42","13","263.72"
"2026-02-07","M Polo","Foundation","YLMF","4688","328","1015.83","8","706.92","2","328.77","234","1070.16","712.6","2","277.32","202.25","1070.82","770.69","2","300.28"
"2026-02-07","M Polo","Foundation","QZT","3727","213","618.06","6","962.44","1","223.6","239.22","667.33","829.16","1","194.31","249.89","610.86","1050.92","1","227.34"
"2026-02-07","M Polo","T-shirt","ZTC","4342","298","860.17","20","5205.79","5","420.65","1098.96","751.95","4592.83","5","481.48","1121.43","943.95","4851.64","5","424.12"
"2026-02-07","M Polo","T-shirt","YLMF","3061","146","461.13","4","1053.93","2","183.5","325.94","429.63","911.78","2","190.23","367.24","461.5","1132.48","2","190.92"
"2026-02-07","M Polo","T-shirt","QZT","2514","175","410.69","6","1221.8","1","185.28","250.33","384.18","1325.58","1","170.21","196.72","402.05","1155.62","1","173.98"
"2026-02-07","M Polo","Complemen","ZTC","2799","142","278.34","6","583.94","1","94.84","123.92","282.28","529.84","1","89.08","99.82","301.84","601.28","1","103.83"
"2026-02-07","M Polo","Complemen","YLMF","1876","69","162.61","3","837.28","1","51.17","184.46","165.01","709.8","1","47.91","151.83","178.7","837.28","1","53.69"
"2026-02-07","M Polo","Complemen","QZT","1569","69","218.72","3","703.78","1","75.23","159.28","186.88","779.22","1","76.9","128.77","237.9","653","1","69.45"
"2026-02-07","W Polo","Acceleration","ZTC","6651","214","713.54","16","4390.87","3","236.41","1062.75","719.88","4862.2","3","246.4","952","711.45","4580.53","3","231.31"
"2026-02-07","W Polo","Acceleration","YLMF","4423","184","307.17","11","2086.35","2","104.96","451.36","343.13","1947.89","2","102.36","411.29","301.88","2112.51","2","95.87"
"2026-02-07","W Polo","Acceleration","QZT","2957","141","328.14","10","2265.68","2","142.96","455.3","295.96","1886.56","2","138.55","459.91","339.49","2412.39","2","150.22"
"2026-02-07","W Polo","Foundation","ZTC","4934","315","683.39","14","2639.85","5","301.87","845.49","784.58","2919.85","5","323.87","676.91","716.83","2871.63","5","289.64"
"2026-02-07","W Polo","Foundation","YLMF","3647","149","418.23","8","1836.94","2","159.46","555.02","396.32","1539.66","2","162.48","469.52","448.63","1914.09","2","164.22"
"2026-02-07","W Polo","Foundation","QZT","3026","177","490.35","10","1916.56","3","216.24","393.08","515.74","1684.92","2","190.15","302.13","497.74","2023.55","3","209.88"
"2026-02-08","M Polo","Acceleration","ZTC","7151","373","1241.56","12","3313.46","4","603","1034.19","1117.92","3513.45","3","519.6","1087.44","1190.02","3587.03","4","600.26"
"2026-02-08","M Polo","Acceleration","YLMF","5278","206","344.87","12","3085.89","4","168.88","858.97","293.91","3510.91","4","161.96","740.03","362.56","3216.28","4","181.95"
"2026-02-08","M Polo","Acceleration","QZT","4730","172","264.38","8","1969.79","1","116.68","657.27","251.65","2160.37","1","128.37","734.54","257.88","1829.05","1","118.3"
"2026-02-08","M Polo","Foundation","ZTC","6288","328","934.16","20","3561.78","7","460.69","1073.09","1041.78","3711.56","7","415.82","1186.51","897.07","3566.76","7","494.48"
"2026-02-08","M Polo","Foundation","YLMF","5136","309","975.4","7","955.75","1","366.81","301.2","965.39","1042.81","1","378.78","236.57","1043.01","899.93","1","382.18"
"2026-02-08","M Polo","Foundation","QZT","3579","130","244.53","4","426.41","1","75.94","134.94","271.79","395.9","1","76.65","125.51","260.89","467.32","1","69.14"
"2026-02-08","M Polo","T-shirt","ZTC","4072","185","481.56","10","1161.36","2","172.75","393.65","550.91","945.84","2","138.84","420.49","522.22","1131.08","2","161.68"
"2026-02-08","M Polo","T-shirt","YLMF","3383","149","259.63","9","1450.35","2","118.16","344.29","250.71","1565.5","2","101.54","260.36","248.69","1445.14","2","107.2"
"2026-02-08","M Polo","T-shirt","QZT","2051","129","328.42","4","399.01","1","157.43","95.76","293.04","353.2","1","168.14","74.73","335.19","419.71","1","150.21"
"2026-02-08","M Polo","Complemen","ZTC","2935","162","380.62","7","1038.76","3","173.25","253.62","412.46","1046.12","2","184.49","288.06","418.04","939.45","3","182.23"
"2026-02-08","M Polo","Complemen","YLMF","2234","116","335.42","2","478.9","1","115.68","125.03","308.05","421.22","1","112.11","109.24","335.12","478.11","1","121.35"
"2026-02-08","M Polo","Complemen","QZT","1354","87","251.24","5","1285.26","2","112.91","425.1","236.99","1106.66","2","110.48","348.81","248.27","1292.12","2","108.78"
"2026-02-08","W Polo","Acceleration","ZTC","6127","235","673.73","8","1062.24","1","229.11","367.2","589.42","1106.11","1","248.32","344.36","666.75","1073.01","1","216.26"
"2026-02-08","W Polo","Acceleration","YLMF","5195","191","362.15","5","1473.3","2","177.36","326.04","352.79","1390.32","2","197.59","251.27","396.88","1532.31","2","194.82"
"2026-02-08","W Polo","Acceleration","QZT","3621","149","255.36","7","1865.67","2","101.82","565.33","272.36","1632.53","2","83.62","614.28","277.46","1792.41","2","111.12"
"2026-02-08","W Polo","Foundation","ZTC","4618","205","584.62","7","1660.49","2","261.29","360.72","641.81","1696.47","2","215.78","275.04","618.24","1776.31","2","260.1"
"2026-02-08","W Polo","Foundation","YLMF","4011","164","527.9","10","917.01","2","232.75","240.39","488.91","871.9","2","192.83","235.33","541.12","837.5","2","213.89"
"2026-02-08","W Polo","Foundation","QZT","3002","131","441.07","9","2546.55","3","165.15","651.85","377.79","2194.23","3","167.55","668.98","451.95","2469.77","3","160.67"
"2026-02-09","M Polo","Acceleration","ZTC","6283","197","565","7","1022.6","3","279.27","327.47","558.35","866.09","3","226.7","278.83","548.02","1076.55","3","303.64"
"2026-02-09","M Polo","Acceleration","YLMF","4727","238","484.61","15","3525.28","4","192.61","894.52","416.49","3046.12","3","208.11","872.39","528.21","3455.83","4","181.37"
"2026-02-09","M Polo","Acceleration","QZT","3690","115","326.58","8","1201.02","2","160.81","415.82","322.83","1205.58","2","147.76","439.62","312.36","1297","2","168.99"
"2026-02-09","M Polo","Foundation","ZTC","5432","346","927.96","21","4352.24","6","314.91","1436.5","863.64","4724.3","7","251.95","1593.15","909.54","4424.01","6","286.29"
"2026-02-09","M Polo","Foundation","YLMF","5039","299","478.4","7","1759.32","1","172.8","543.45","441.5","2005.07","1","139.37","464.84","464.52","1633.19","1","183.47"
"2026-02-09","M Polo","Foundation","QZT","3393","178","491.74","9","1985","3","194.05","397.71","425.32","1954.71","2","221.43","388.02","495.28","2106.4","3","202.69"
"2026-02-09","M Polo","T-shirt","ZTC","2984","110","350.47","7","1516.94","2","125.11","516.69","333.17","1484.93","2","137.24","388.68","368.47","1604.55","2","114.82"
"2026-02-09","M Polo","T-shirt","YLMF","2823","87","161.81","4","563.61","1","67.21","118.18","172.93","576.18","1","71.44","120.72","168.02","540.3","1","67.76"
"2026-02-09","M Polo","T-shirt","QZT","1721","119","194.04","3","841.67","1","71.65","245","182.59","684.89","1","61.18","188.08","209.14","798.4","1","71.3"
"2026-02-09","M Polo","Complemen","ZTC","2383","146","320.72","5","1335.64","2","113.29","391.92","358.48","1089.38","2","98.01","396.89","349.04","1417","2","112.49"
"2026-02-09","M Polo","Complemen","YLMF","1880","118","183.27","9","2217.54","2","85.54","740.75","209.3","1884.4","2","95.69","758.47","195.63","2009.7","2","80.47"
"2026-02-09","M Polo","Complemen","QZT","1496","75","133.79","3","346.9","1","61.52","95.32","114.49","378.82","1","58.29","96.15","129.45","351.81","1","62.5"
"2026-02-09","W Polo","Acceleration","ZTC","4570","215","690.67","11","3195.97","3","278.31","796.46","768.81","3501.08","2","292.04","663.48","683.24","3502.29","3","275.71"
"2026-02-09","W Polo","Acceleration","YLMF","3483","145","280.17","4","761.05","1","96.8","205.72","300.1","691.53","1","93.44","181.18","267.21","780.94","1","89.16"
"2026-02-09","W Polo","Acceleration","QZT","3109","168","256.16","10","2821.51","4","108.98","983.79","239.63","2398.58","4","117.17","1057.23","265.36","2740.56","4","102.3"
"2026-02-09","W Polo","Foundation","ZTC","3660","150","398.95","7","1619.13","2","169.85","333.36","365.43","1480.54","2","186.75","323.41","428.03","1597.78","2","156.34"
"2026-02-09","W Polo","Foundation","YLMF","3529","159","335.52","10","1079.76","3","140.17","240.96","306.97","1122.5","3","145.62","269.92","355.87","1002.29","3","129.89"
"2026-02-09","W Polo","Foundation","QZT","2863","126","323.76","8","2235.21","1","121.97","667.06","343.09","2216.03","1","103.36","696.27","323.3","2145.92","1","127.08"
"2026-02-10","M Polo","Acceleration","ZTC","7537","522","1616.78","24","6904.93","9","805.45","1670.45","1602.91","7737.03","7","744.93","1449.55","1678.82","7423.75","9","792.09"
"2026-02-10","M Polo","Acceleration","YLMF","5966","198","321.96","9","2226.98","2","155.92","479.31","315.02","2461.87","2","125.77","451.87","323.28","2090.2","2","147.07"
"2026-02-10","M Polo","Acceleration","QZT","4434","161","425.05","10","820.88","3","173.75","212.45","416.76","681.83","3","157.21","193.72","464.86","859.38","3","167.4"
"2026-02-10","M Polo","Foundation","ZTC","5530","214","374.68","8","893.74","2","178.14","223.55","376.47","1023.07","2","158.76","256.15","387.14","972.86","2","163.11"
"2026-02-10","M Polo","Foundation","YLMF","4825","283","943.49","18","4830.6","5","381.02","994.16","894.28","4346.53","5","411.78","755.01","1025.81","4583.43","5","355.45"
"2026-02-10","M Polo","Foundation","QZT","3766","260","581.68","20","4628.4","6","255.1","1177.94","580.56","4530.19","6","215.82","1093.34","599.05","4448.35","6","246.24"
